rekindle,relight
pesky,annoying
verge,border
maneuver,activity
accountability,responsibility
profanity,obscene language
hypochondriac,a person who is abnormally anxious about their health
entwined,twist together
continuance,maintenance
solitary,lonely
renege,go back on a promise
gaffe ,mistake
resurrect ,restore (a dead person) to life.
emulate ,imitate
corpus ,collection
soaring ,rising
jeopardize,endangering
intelligibility ,clarity
devouring ,eating food or prey hungrily or quickly.
brisk ,active and energetic
stern ,serious
grubby ,filthy
humdrum ,monotonous
predisposition ,tendency
agog,excited
coda,finale
larceny,robbery
lugubrious,mournful
pastiche,an artistic work consisting of a medley ofpieces taken from various sources
winnow,filter out
